company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),price,resolution,screentype,touchscreen,cpu_freq(GHz),memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type,cpu_brand,gpu_brand
MSI,GL72M 7RDX,Gaming,17.3,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.7,1095.0,1920x1080,,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
Acer,Aspire E5-475,Notebook,14.0,Intel Core i3 6006U ,8,Intel HD Graphics 520,Windows 10,2.1,389.0,1366x768,,0.0,2.0,1000,HDD,0,NaN,Intel,Intel
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,949.0,1920x1080,,0.0,2.8,1000,HDD,0,NaN,Intel,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,No OS,2.2,519.0,1920x1080,,0.0,2.5,2000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,2.02,855.0,1920x1080,,0.0,1.8,128,SSD,1000,HDD,Intel,Intel
Acer,Aspire A515-51G-32MX,Notebook,15.6,Intel Core i3 7130U ,4,Nvidia GeForce MX130,Windows 10,2.2,530.0,1920x1080,,0.0,2.7,1000,HDD,0,NaN,Intel,Nvidia
HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U ,8,Nvidia GeForce 930MX,Windows 10,2.5,977.0,1920x1080,,0.0,1.6,128,SSD,1000,HDD,Intel,Nvidia
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.88,1096.16,1920x1080,IPSPanel,0.0,1.6,256,SSD,0,NaN,Intel,Intel
Apple,"MacBook 12""",Ultrabook,12.0,Intel Core i5 ,8,Intel HD Graphics 615,macOS,0.92,1510.0,2304x1440,IPSPanelRetinaDisplay,0.0,1.3,512,SSD,0,NaN,Intel,Intel
HP,ProBook 440,Notebook,14.0,Intel Core i5 8250U ,8,Intel HD Graphics 620,Windows 10,1.63,860.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15AST,Notebook,15.6,AMD A6-Series 9220 ,4,AMD R4 Graphics,Windows 10,2.2,399.0,1920x1080,,0.0,2.5,128,SSD,0,NaN,AMD,AMD
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,395.0,1366x768,,0.0,3.0,1000,HDD,0,NaN,AMD,AMD
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
HP,Pavilion 15-CK000nv,Ultrabook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.96,598.99,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.21,1649.0,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,Intel
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,AMD FX 9830P ,8,AMD Radeon RX 560,Windows 10,2.45,699.0,1920x1080,,0.0,3.0,1000,HDD,0,NaN,AMD,AMD
Acer,Aspire 5,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce MX150,Windows 10,2.2,689.0,1920x1080,,0.0,1.8,1000,HDD,0,NaN,Intel,Nvidia
HP,Probook 430,Notebook,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.49,1197.0,1920x1080,,0.0,1.8,512,SSD,0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Asus,Zenbook UX430UA,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.25,1049.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Acer,Spin 5,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.5,847.0,1920x1080,IPSPanel,1.0,1.6,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R5 M430,Linux,2.2,599.9,1920x1080,,0.0,2.7,1000,HDD,0,NaN,Intel,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Linux,2.2,485.0,1920x1080,,0.0,2.0,256,SSD,0,NaN,Intel,AMD
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Intel Core i3 7100U ,6,Nvidia GeForce 920M,Windows 10,2.0,577.0,1920x1080,,0.0,2.4,256,SSD,0,NaN,Intel,Nvidia
HP,Omen 15-ce007nv,Gaming,15.6,Intel Core i7 7700HQ ,12,Nvidia GeForce GTX 1050,Windows 10,2.62,1249.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon 530,Windows 10,1.91,719.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,AMD
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,AMD E-Series E2-9000e ,4,AMD Radeon R2,Windows 10,2.1,349.0,1920x1080,,0.0,1.5,500,HDD,0,NaN,AMD,AMD
Dell,Inspiron 3576,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 520,Linux,2.2,647.0,1920x1080,,0.0,1.6,1000,HDD,0,NaN,Intel,AMD
HP,Envy 13-ad009n,Ultrabook,13.3,Intel Core i7 7500U ,8,Nvidia GeForce MX150,Windows 10,1.38,1119.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,2256x1504,,1.0,2.5,256,SSD,0,NaN,Intel,Intel
HP,Pavilion 14-BK001nv,Notebook,14.0,Intel Core i5 7200U ,6,Nvidia GeForce 940MX,Windows 10,1.58,659.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.85,414.9,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,Intel
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
MSI,GP62M 7REX,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Lenovo,Thinkpad T470,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.58,1480.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 8550U ,16,Nvidia GeForce MX150,Windows 10,1.5,1262.0,1920x1080,,0.0,1.8,256,SSD,1000,HDD,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7560U ,8,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,3200x1800,,1.0,2.4,256,SSD,0,NaN,Intel,Intel
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.37,1399.0,1920x1080,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
HP,Probook 440,Notebook,14.0,Intel Core i5 8250U ,4,Intel UHD Graphics 620,Windows 10,1.63,722.0,1366x768,IPSPanel,0.0,1.6,500,HDD,0,NaN,Intel,Intel
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.21,1629.0,1920x1080,IPSPanel,0.0,1.6,256,SSD,0,NaN,Intel,Intel
HP,Spectre x360,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.26,1398.99,1920x1080,IPSPanel,1.0,1.6,256,SSD,0,NaN,Intel,Intel
HP,Probook 440,Notebook,14.0,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.63,1084.0,1920x1080,,0.0,1.8,512,SSD,0,NaN,Intel,Intel
Dell,Inspiron 7570,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce 940MX,Windows 10,2.16,1130.33,1920x1080,IPSPanel,0.0,1.8,256,SSD,1000,HDD,Intel,Nvidia
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Intel Core i3 6006U ,4,Nvidia GeForce 920MX,Windows 10,2.0,564.0,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,Nvidia
Asus,VivoBook S15,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce 940MX,Windows 10,1.7,1118.0,1920x1080,,0.0,1.8,256,SSD,0,NaN,Intel,Nvidia
Acer,Spin 3,Notebook,15.6,Intel Core i3 7100U ,6,Intel HD Graphics 620,Windows 10,2.1,479.0,1920x1080,IPSPanel,1.0,2.4,1000,HDD,0,NaN,Intel,Intel
MSI,GS63VR 7RG,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5,1920x1080,,0.0,2.8,256,SSD,2000,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,No OS,2.2,629.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
HP,Probook 470,Notebook,17.3,Intel Core i7 8550U ,16,Nvidia GeForce 930MX ,Windows 10,2.5,1271.0,1920x1080,,0.0,1.8,512,SSD,0,NaN,Intel,Nvidia
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,451.0,1366x768,,0.0,3.0,256,SSD,0,NaN,AMD,AMD
HP,250 G6,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,No OS,1.86,259.0,1366x768,,0.0,1.6,500,HDD,0,NaN,Intel,Intel
HP,Probook 440,Notebook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.63,812.0,1920x1080,,0.0,1.6,1000,HDD,0,NaN,Intel,Intel
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,AMD E-Series 6110 ,4,AMD Radeon R2,Windows 10 S,1.65,277.99,1366x768,,0.0,1.5,64,SSD,0,NaN,AMD,AMD
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,16,AMD Radeon 530,Windows 10,2.8,1396.0,1920x1080,,0.0,1.8,256,SSD,2000,HDD,Intel,AMD
