,image,Class,x_center,y_center,w,h
23,00007.txt,1,0.1131827731092437,0.6439144736842105,0.0099789915966386,0.0279605263157894
24,00007.txt,0,0.1410189075630252,0.6085526315789473,0.0299369747899159,0.0888157894736842
25,00007.txt,1,0.4115021008403361,0.5115131578947368,0.0099789915966386,0.0296052631578947
26,00007.txt,1,0.6281512605042017,0.7615131578947368,0.009453781512605,0.0296052631578947
27,00008.txt,1,0.2329306722689075,0.6340460526315789,0.0110294117647058,0.0345394736842105
28,00008.txt,1,0.8629201680672268,0.5460526315789473,0.0126050420168067,0.0394736842105263
29,00008.txt,2,0.8868172268907563,0.3108552631578947,0.0246848739495798,0.0592105263157894
30,00008.txt,3,0.945640756302521,0.1620065789473684,0.025735294117647,0.0904605263157894
31,00008.txt,4,0.3466386554621848,0.763157894736842,0.0220588235294117,0.0657894736842105
32,00009.txt,5,0.1927521008403361,0.2746710526315789,0.0451680672268907,0.125
33,00009.txt,4,0.58140756302521,0.5526315789473684,0.0126050420168067,0.0361842105263157
34,00010.txt,1,0.2586659663865546,0.3462171052631578,0.0110294117647058,0.0345394736842105
35,00010.txt,5,0.5404411764705882,0.856907894736842,0.0336134453781512,0.0921052631578947
36,00011.txt,2,0.470063025210084,0.4251644736842105,0.0210084033613445,0.0411184210526315
37,00011.txt,4,0.5735294117647058,0.3791118421052631,0.0220588235294117,0.0674342105263157
38,00011.txt,3,0.6336659663865546,0.8404605263157894,0.025735294117647,0.0855263157894736
39,00012.txt,1,0.0856092436974789,0.3939144736842105,0.009453781512605,0.03125
40,00012.txt,1,0.2321428571428571,0.4851973684210526,0.009453781512605,0.0263157894736842
41,00012.txt,4,0.1218487394957983,0.4695723684210526,0.0210084033613445,0.0608552631578947
42,00012.txt,4,0.9230567226890756,0.5148026315789473,0.0120798319327731,0.0394736842105263
43,00012.txt,2,0.3403361344537815,0.6924342105263157,0.0262605042016806,0.0526315789473684
44,00012.txt,3,0.5527836134453781,0.8371710526315789,0.0320378151260504,0.0723684210526315
45,00013.txt,0,0.4128151260504201,0.4547697368421052,0.01890756302521,0.1036184210526315
46,00013.txt,3,0.7179621848739496,0.8338815789473684,0.0220588235294117,0.0888157894736842
47,00013.txt,1,0.8146008403361344,0.0583881578947368,0.0105042016806722,0.03125
48,00014.txt,2,0.9831932773109244,0.6233552631578947,0.0273109243697479,0.0559210526315789
49,00014.txt,3,0.9797794117647058,0.6768092105263157,0.0309873949579831,0.0740131578947368
50,00014.txt,1,0.7867647058823529,0.841282894736842,0.009453781512605,0.03125
51,00014.txt,1,0.7161239495798319,0.2014802631578947,0.0099789915966386,0.03125
52,00014.txt,1,0.5619747899159664,0.4276315789473684,0.0105042016806722,0.0328947368421052
53,00014.txt,4,0.7977941176470588,0.4152960526315789,0.0220588235294117,0.0674342105263157
54,00015.txt,1,0.1165966386554621,0.6652960526315789,0.0105042016806722,0.03125
55,00015.txt,1,0.229516806722689,0.9235197368421052,0.0084033613445378,0.0246710526315789
56,00015.txt,1,0.4761029411764705,0.9177631578947368,0.0078781512605042,0.0230263157894736
57,00015.txt,2,0.8195903361344538,0.1307565789473684,0.0225840336134453,0.0641447368421052
58,00016.txt,1,0.1872373949579832,0.1192434210526315,0.0141806722689075,0.0411184210526315
59,00016.txt,1,0.5932247899159664,0.2993421052631578,0.0131302521008403,0.0427631578947368
60,00016.txt,1,0.694327731092437,0.3733552631578947,0.0105042016806722,0.0361842105263157
61,00016.txt,3,0.5848214285714285,0.8700657894736842,0.0299369747899159,0.0789473684210526
62,00016.txt,4,0.4191176470588235,0.7713815789473684,0.0241596638655462,0.0723684210526315
63,00017.txt,0,0.0693277310924369,0.6134868421052632,0.0378151260504201,0.0986842105263157
64,00017.txt,3,0.0782563025210084,0.350328947368421,0.0273109243697479,0.0756578947368421
65,00017.txt,1,0.8080357142857143,0.5139802631578947,0.0099789915966386,0.0345394736842105
66,00017.txt,1,0.986344537815126,0.1233552631578947,0.0157563025210084,0.0460526315789473
67,00018.txt,5,0.8802521008403361,0.5370065789473684,0.0504201680672268,0.1299342105263158
68,00019.txt,5,0.8240546218487395,0.4202302631578947,0.0588235294117647,0.1726973684210526
69,00019.txt,4,0.5929621848739496,0.4407894736842105,0.0231092436974789,0.069078947368421
70,00019.txt,1,0.152048319327731,0.1282894736842105,0.0120798319327731,0.0328947368421052
71,00020.txt,1,0.4910714285714285,0.381578947368421,0.009453781512605,0.0328947368421052
72,00020.txt,1,0.5877100840336135,0.5814144736842105,0.0126050420168067,0.03125
73,00020.txt,1,0.4508928571428571,0.3075657894736842,0.0131302521008403,0.0394736842105263
74,00020.txt,1,0.0945378151260504,0.2902960526315789,0.0115546218487394,0.03125
75,00020.txt,1,0.3991596638655462,0.8297697368421052,0.0115546218487394,0.0345394736842105
76,00021.txt,1,0.1273634453781512,0.5896381578947368,0.0110294117647058,0.0345394736842105
77,00021.txt,1,0.1783088235294117,0.1184210526315789,0.0099789915966386,0.0328947368421052
78,00021.txt,1,0.7991071428571428,0.5180921052631579,0.0110294117647058,0.0361842105263157
79,00022.txt,5,0.8734243697478992,0.5863486842105263,0.0462184873949579,0.1595394736842105
80,00022.txt,3,0.966123949579832,0.6011513157894737,0.0309873949579831,0.0904605263157894
81,00022.txt,1,0.464548319327731,0.544407894736842,0.0099789915966386,0.0328947368421052
82,00022.txt,1,0.5254726890756303,0.7047697368421052,0.0078781512605042,0.0279605263157894
83,00023.txt,5,0.2408088235294117,0.5394736842105263,0.0603991596638655,0.1381578947368421
84,00023.txt,1,0.5955882352941176,0.6833881578947368,0.0105042016806722,0.03125
85,00023.txt,2,0.9464285714285714,0.2648026315789473,0.0294117647058823,0.0592105263157894
86,00023.txt,2,0.8188025210084033,0.7088815789473684,0.0178571428571428,0.0789473684210526
87,00023.txt,4,0.9774159663865546,0.5353618421052632,0.0252100840336134,0.0740131578947368
88,00024.txt,2,0.1748949579831932,0.3396381578947368,0.0346638655462184,0.0509868421052631
89,00024.txt,1,0.2158613445378151,0.4300986842105262,0.0105042016806722,0.03125
90,00024.txt,1,0.313813025210084,0.2664473684210526,0.0078781512605042,0.0263157894736842
91,00024.txt,1,0.7182247899159664,0.2277960526315789,0.0141806722689075,0.0411184210526315
92,00024.txt,4,0.8637079831932772,0.8445723684210525,0.0225840336134453,0.0674342105263157
93,00025.txt,2,0.7040441176470588,0.4185855263157894,0.0225840336134453,0.0707236842105263
94,00025.txt,3,0.6402310924369747,0.700657894736842,0.0262605042016806,0.0756578947368421
95,00026.txt,2,0.4553571428571428,0.4769736842105262,0.0241596638655462,0.0460526315789473
96,00026.txt,2,0.8476890756302521,0.5074013157894737,0.0220588235294117,0.0838815789473684
97,00027.txt,5,0.1163340336134453,0.265625,0.0530462184873949,0.1694078947368421
98,00027.txt,1,0.4051995798319328,0.2894736842105263,0.0089285714285714,0.0296052631578947
99,00027.txt,1,0.8492647058823529,0.3388157894736842,0.0084033613445378,0.0263157894736842
100,00028.txt,2,0.720063025210084,0.8453947368421052,0.0283613445378151,0.0657894736842105
101,00028.txt,2,0.0874474789915966,0.1266447368421052,0.0204831932773109,0.0723684210526315
102,00028.txt,1,0.3135504201680672,0.6439144736842105,0.0136554621848739,0.037828947368421
103,00028.txt,3,0.4952731092436974,0.5394736842105263,0.0273109243697479,0.0888157894736842
104,00029.txt,3,0.1486344537815126,0.6200657894736842,0.0252100840336134,0.0855263157894736
105,00029.txt,1,0.523109243697479,0.1546052631578947,0.0105042016806722,0.0328947368421052
106,00029.txt,0,0.6893382352941176,0.2993421052631578,0.0309873949579831,0.0822368421052631
107,00029.txt,1,0.4267331932773109,0.7557565789473684,0.0089285714285714,0.0246710526315789
108,00029.txt,1,0.7599789915966386,0.8560855263157894,0.009453781512605,0.0246710526315789
109,00029.txt,2,0.8130252100840336,0.6167763157894737,0.0231092436974789,0.0493421052631578
110,00030.txt,1,0.2830882352941176,0.2475328947368421,0.0126050420168067,0.0345394736842105
111,00030.txt,1,0.5207457983193277,0.2105263157894736,0.0110294117647058,0.0296052631578947
112,00030.txt,3,0.6586134453781513,0.1759868421052631,0.0273109243697479,0.0822368421052631
113,00030.txt,5,0.6693802521008403,0.8116776315789473,0.048844537815126,0.1266447368421052
114,00030.txt,1,0.9818802521008404,0.7911184210526315,0.0099789915966386,0.0263157894736842
115,00031.txt,4,0.1021533613445378,0.3108552631578947,0.0215336134453781,0.0625
116,00031.txt,3,0.1207983193277311,0.4342105263157894,0.0252100840336134,0.0625
117,00031.txt,2,0.8125,0.6101973684210525,0.0210084033613445,0.0493421052631578
118,00031.txt,1,0.9519432773109244,0.2450657894736842,0.0120798319327731,0.0361842105263157
119,00032.txt,0,0.9690126050420168,0.2672697368421052,0.0378151260504201,0.0904605263157894
120,00032.txt,1,0.4372373949579832,0.6217105263157895,0.0131302521008403,0.0394736842105263
121,00033.txt,1,0.6625525210084033,0.1702302631578947,0.0120798319327731,0.03125
122,00033.txt,3,0.5173319327731092,0.3100328947368421,0.0273109243697479,0.0838815789473684
123,00033.txt,1,0.6919642857142857,0.5805921052631579,0.0194327731092436,0.0526315789473684
124,00033.txt,4,0.9642857142857142,0.7590460526315789,0.0220588235294117,0.0641447368421052
125,00033.txt,4,0.2804621848739496,0.5419407894736842,0.0241596638655462,0.0740131578947368
126,00034.txt,5,0.1628151260504201,0.3700657894736842,0.042016806722689,0.131578947368421
127,00034.txt,1,0.9566701680672268,0.3009868421052631,0.0141806722689075,0.0427631578947368
128,00034.txt,1,0.7896533613445378,0.1924342105263158,0.0099789915966386,0.0328947368421052
129,00034.txt,4,0.6636029411764706,0.7277960526315789,0.0204831932773109,0.0608552631578947
130,00035.txt,2,0.1478466386554622,0.6060855263157895,0.0288865546218487,0.0542763157894736
131,00035.txt,1,0.1202731092436974,0.522203947368421,0.0126050420168067,0.037828947368421
132,00035.txt,2,0.6869747899159664,0.1184210526315789,0.0231092436974789,0.0723684210526315
133,00035.txt,4,0.8392857142857143,0.765625,0.0231092436974789,0.0707236842105263
134,00035.txt,3,0.9724264705882352,0.3511513157894737,0.0320378151260504,0.0805921052631579
135,00036.txt,5,0.3736869747899159,0.4078947368421052,0.0656512605042016,0.2105263157894736
136,00036.txt,1,0.6583508403361344,0.1842105263157894,0.0110294117647058,0.0361842105263157
137,00037.txt,5,0.759453781512605,0.6422697368421052,0.065126050420168,0.1924342105263158
138,00038.txt,2,0.6039915966386554,0.897203947368421,0.0294117647058823,0.0608552631578947
139,00038.txt,1,0.7612920168067226,0.7886513157894737,0.0120798319327731,0.0411184210526315
140,00038.txt,1,0.6376050420168067,0.9169407894736842,0.009453781512605,0.0246710526315789
141,00038.txt,1,0.1011029411764705,0.5962171052631579,0.0110294117647058,0.03125
142,00039.txt,2,0.6084558823529411,0.359375,0.0267857142857142,0.0805921052631579
143,00039.txt,1,0.0485819327731092,0.8421052631578947,0.0089285714285714,0.0263157894736842
144,00040.txt,0,0.1843487394957983,0.5583881578947368,0.0388655462184873,0.0838815789473684
145,00040.txt,3,0.0667016806722689,0.5707236842105263,0.0273109243697479,0.0953947368421052
146,00040.txt,1,0.4831932773109244,0.859375,0.009453781512605,0.0345394736842105
147,00040.txt,4,0.5580357142857143,0.3330592105263157,0.016281512605042,0.0476973684210526
148,00040.txt,1,0.0386029411764705,0.6578947368421052,0.0110294117647058,0.0361842105263157
149,00041.txt,1,0.4574579831932773,0.6578947368421052,0.009453781512605,0.0296052631578947
150,00041.txt,1,0.2833508403361344,0.6348684210526315,0.0099789915966386,0.0328947368421052
151,00041.txt,4,0.0330882352941176,0.4152960526315789,0.0220588235294117,0.0674342105263157
152,00041.txt,1,0.8048844537815125,0.1340460526315789,0.0089285714285714,0.03125
153,00041.txt,1,0.8140756302521008,0.1332236842105263,0.0073529411764705,0.0296052631578947
154,00042.txt,3,0.2347689075630252,0.3643092105263157,0.032563025210084,0.0707236842105263
155,00042.txt,2,0.8897058823529411,0.5427631578947368,0.0252100840336134,0.0526315789473684
156,00042.txt,4,0.4159663865546218,0.8314144736842105,0.0220588235294117,0.0674342105263157
157,00042.txt,4,0.6919642857142857,0.7606907894736842,0.0225840336134453,0.0707236842105263
158,00042.txt,1,0.6165966386554621,0.6455592105263157,0.0126050420168067,0.037828947368421
159,00042.txt,1,0.8064600840336134,0.3462171052631578,0.0089285714285714,0.0213815789473684
160,00043.txt,2,0.2360819327731092,0.6324013157894737,0.0215336134453781,0.0542763157894736
161,00043.txt,4,0.6252626050420168,0.3601973684210526,0.0183823529411764,0.0526315789473684
162,00043.txt,1,0.9600840336134452,0.4391447368421052,0.0147058823529411,0.0427631578947368
163,00043.txt,3,0.9327731092436974,0.2689144736842105,0.0210084033613445,0.0674342105263157
164,00043.txt,3,0.9159663865546218,0.2911184210526316,0.0252100840336134,0.0756578947368421
165,00043.txt,1,0.759453781512605,0.4309210526315789,0.0105042016806722,0.0328947368421052
166,00044.txt,0,0.4353991596638655,0.4539473684210526,0.0336134453781512,0.0756578947368421
167,00044.txt,3,0.2980567226890756,0.4136513157894737,0.0309873949579831,0.0773026315789473
168,00045.txt,0,0.7859768907563025,0.6685855263157895,0.0351890756302521,0.0904605263157894
169,00045.txt,4,0.90625,0.5995065789473684,0.0246848739495798,0.0707236842105263
170,00046.txt,5,0.6210609243697479,0.653782894736842,0.0677521008403361,0.1990131578947368
171,00046.txt,1,0.5409663865546218,0.147203947368421,0.0115546218487394,0.0345394736842105
172,00046.txt,2,0.3421743697478991,0.8733552631578947,0.0131302521008403,0.0592105263157894
173,00046.txt,2,0.9852941176470588,0.4662828947368421,0.0157563025210084,0.0575657894736842
174,00047.txt,5,0.9246323529411764,0.7804276315789473,0.0519957983193277,0.1365131578947368
175,00048.txt,0,0.7308298319327731,0.4662828947368421,0.0351890756302521,0.0904605263157894
176,00048.txt,2,0.7431722689075629,0.6504934210526315,0.0178571428571428,0.0608552631578947
177,00049.txt,0,0.1927521008403361,0.3404605263157894,0.0283613445378151,0.0789473684210526
178,00049.txt,0,0.5569852941176471,0.6883223684210525,0.0404411764705882,0.0904605263157894
179,00049.txt,5,0.5023634453781513,0.2006578947368421,0.0414915966386554,0.131578947368421
180,00049.txt,1,0.3453256302521008,0.3059210526315789,0.0099789915966386,0.0263157894736842
181,00050.txt,0,0.9519432773109244,0.2023026315789473,0.039390756302521,0.0953947368421052
182,00050.txt,1,0.9571953781512604,0.6792763157894737,0.0099789915966386,0.0263157894736842
183,00050.txt,1,0.9065126050420168,0.4876644736842105,0.0126050420168067,0.0345394736842105
184,00051.txt,2,0.2547268907563025,0.4819078947368421,0.0304621848739495,0.0526315789473684
185,00051.txt,3,0.2297794117647058,0.4629934210526315,0.0309873949579831,0.0904605263157894
186,00051.txt,3,0.7003676470588235,0.3667763157894737,0.0267857142857142,0.0822368421052631
187,00052.txt,2,0.2935924369747899,0.740953947368421,0.0199579831932773,0.0740131578947368
188,00052.txt,2,0.6376050420168067,0.71875,0.0157563025210084,0.0723684210526315
189,00052.txt,1,0.8673844537815125,0.8371710526315789,0.0110294117647058,0.0328947368421052
190,00053.txt,2,0.0506827731092437,0.5164473684210527,0.0288865546218487,0.0427631578947368
191,00053.txt,2,0.7985819327731092,0.4934210526315789,0.0236344537815126,0.0657894736842105
192,00053.txt,1,0.6980042016806722,0.6504934210526315,0.0147058823529411,0.0444078947368421
193,00053.txt,3,0.9214810924369748,0.1858552631578947,0.0299369747899159,0.0888157894736842
194,00054.txt,5,0.387079831932773,0.850328947368421,0.0346638655462184,0.1052631578947368
195,00054.txt,3,0.2384453781512605,0.6661184210526315,0.0252100840336134,0.0986842105263157
196,00054.txt,3,0.4579831932773109,0.653782894736842,0.0283613445378151,0.0740131578947368
197,00054.txt,4,0.1756827731092436,0.6052631578947368,0.0183823529411764,0.0493421052631578
198,00055.txt,0,0.927783613445378,0.569078947368421,0.0383403361344537,0.0986842105263157
199,00055.txt,1,0.8839285714285714,0.3832236842105262,0.0157563025210084,0.0427631578947368
200,00055.txt,1,0.7447478991596639,0.7598684210526315,0.0136554621848739,0.0296052631578947
201,00055.txt,1,0.214548319327731,0.6398026315789473,0.0110294117647058,0.0328947368421052
202,00055.txt,1,0.0850840336134453,0.6981907894736842,0.009453781512605,0.03125
203,00055.txt,1,0.0417542016806722,0.1998355263157894,0.0099789915966386,0.0279605263157894
204,00056.txt,5,0.5336134453781513,0.606907894736842,0.0462184873949579,0.1480263157894736
205,00056.txt,2,0.4430147058823529,0.6587171052631579,0.0267857142857142,0.0575657894736842
206,00056.txt,1,0.8873424369747899,0.2294407894736842,0.0089285714285714,0.0279605263157894
207,00057.txt,2,0.3579306722689075,0.7779605263157894,0.0246848739495798,0.0756578947368421
208,00057.txt,4,0.0456932773109243,0.3569078947368421,0.0220588235294117,0.0625
209,00057.txt,3,0.9558823529411764,0.4539473684210526,0.0273109243697479,0.0789473684210526
210,00057.txt,3,0.9051995798319328,0.3955592105263157,0.0278361344537815,0.0970394736842105
211,00057.txt,1,0.7605042016806722,0.4745065789473684,0.009453781512605,0.0279605263157894
212,00058.txt,1,0.0070903361344537,0.2886513157894737,0.0120798319327731,0.0345394736842105
213,00058.txt,1,0.1961659663865546,0.1620065789473684,0.0099789915966386,0.03125
214,00058.txt,1,0.6097689075630252,0.694078947368421,0.0084033613445378,0.0263157894736842
215,00058.txt,1,0.4984243697478991,0.6365131578947368,0.009453781512605,0.0263157894736842
216,00058.txt,0,0.604516806722689,0.3741776315789473,0.0357142857142857,0.09375
217,00058.txt,4,0.828781512605042,0.453125,0.0231092436974789,0.0707236842105263
218,00058.txt,1,0.8797268907563025,0.1324013157894736,0.0084033613445378,0.0246710526315789
219,00059.txt,5,0.14390756302521,0.1825657894736842,0.0430672268907563,0.1447368421052631
220,00059.txt,5,0.8815651260504201,0.2804276315789473,0.048844537815126,0.1430921052631578
221,00059.txt,2,0.9453781512605042,0.1521381578947368,0.0262605042016806,0.0773026315789473
222,00059.txt,3,0.1875,0.4449013157894737,0.0304621848739495,0.0740131578947368
223,00059.txt,1,0.6554621848739496,0.2705592105263157,0.0147058823529411,0.0476973684210526
224,00060.txt,2,0.0572478991596638,0.3898026315789473,0.0220588235294117,0.0493421052631578
225,00060.txt,2,0.1470588235294117,0.0921052631578947,0.0241596638655462,0.0559210526315789
226,00060.txt,1,0.125,0.4169407894736842,0.0105042016806722,0.0279605263157894
227,00060.txt,1,0.2670693277310924,0.1537828947368421,0.0131302521008403,0.0476973684210526
228,00061.txt,5,0.8621323529411764,0.4152960526315789,0.0498949579831932,0.1595394736842105
229,00061.txt,1,0.9789915966386554,0.4152960526315789,0.0126050420168067,0.037828947368421
230,00061.txt,4,0.4204306722689075,0.4333881578947368,0.0204831932773109,0.0608552631578947
231,00062.txt,1,0.3416491596638655,0.5353618421052632,0.0152310924369747,0.0411184210526315
232,00062.txt,3,0.3602941176470588,0.4473684210526315,0.0283613445378151,0.0789473684210526
233,00062.txt,2,0.9327731092436974,0.4300986842105262,0.0283613445378151,0.0542763157894736
234,00062.txt,1,0.8463760504201681,0.6274671052631579,0.0131302521008403,0.0411184210526315
235,00062.txt,2,0.726890756302521,0.4481907894736842,0.01890756302521,0.0509868421052631
236,00063.txt,0,0.2780987394957983,0.3643092105263157,0.0435924369747899,0.0871710526315789
237,00063.txt,1,0.0890231092436974,0.2368421052631578,0.0183823529411764,0.0460526315789473
238,00063.txt,1,0.6066176470588235,0.3725328947368421,0.0105042016806722,0.0345394736842105
239,00063.txt,4,0.945640756302521,0.4136513157894737,0.0236344537815126,0.0641447368421052
240,00064.txt,0,0.7310924369747899,0.803453947368421,0.0336134453781512,0.0871710526315789
241,00064.txt,0,0.6368172268907563,0.1702302631578947,0.039390756302521,0.1299342105263158
242,00064.txt,4,0.8067226890756303,0.6842105263157894,0.01890756302521,0.0460526315789473
243,00064.txt,4,0.2998949579831932,0.8536184210526315,0.0199579831932773,0.0592105263157894
244,00064.txt,1,0.1822478991596638,0.71875,0.0126050420168067,0.0361842105263157
245,00065.txt,5,0.0317752100840336,0.4013157894736842,0.0635504201680672,0.1907894736842105
246,00065.txt,4,0.6016281512605042,0.3042763157894737,0.0267857142857142,0.0789473684210526
247,00065.txt,1,0.7891281512605042,0.553453947368421,0.016281512605042,0.0476973684210526
248,00066.txt,5,0.9009978991596638,0.7327302631578947,0.0625,0.1759868421052631
249,00066.txt,4,0.5372899159663865,0.3174342105263157,0.0220588235294117,0.0723684210526315
250,00066.txt,1,0.2008928571428571,0.2113486842105263,0.0194327731092436,0.0542763157894736
251,00067.txt,0,0.8946953781512604,0.1866776315789473,0.0362394957983193,0.1101973684210526
252,00067.txt,1,0.936186974789916,0.3001644736842105,0.0194327731092436,0.0542763157894736
253,00067.txt,4,0.0858718487394958,0.350328947368421,0.025735294117647,0.0756578947368421
254,00068.txt,1,0.8889180672268907,0.2919407894736842,0.0099789915966386,0.03125
255,00068.txt,1,0.8474264705882353,0.4917763157894737,0.0141806722689075,0.0427631578947368
256,00068.txt,3,0.9330357142857142,0.6513157894736842,0.0225840336134453,0.0657894736842105
257,00068.txt,4,0.14390756302521,0.2105263157894736,0.0220588235294117,0.069078947368421
258,00068.txt,1,0.1945903361344537,0.6217105263157895,0.0120798319327731,0.0394736842105263
259,00069.txt,5,0.1633403361344537,0.7615131578947368,0.0399159663865546,0.125
260,00069.txt,4,0.2983193277310924,0.1381578947368421,0.0199579831932773,0.0657894736842105
261,00070.txt,0,0.4577205882352941,0.6101973684210525,0.0309873949579831,0.069078947368421
262,00070.txt,1,0.7565651260504201,0.4481907894736842,0.0120798319327731,0.037828947368421
263,00071.txt,1,0.1286764705882352,0.3675986842105262,0.0115546218487394,0.037828947368421
264,00071.txt,1,0.1512605042016806,0.8108552631578947,0.0147058823529411,0.0427631578947368
265,00071.txt,1,0.1415441176470588,0.8338815789473684,0.0120798319327731,0.0394736842105263
266,00071.txt,1,0.7106092436974789,0.6817434210526315,0.0115546218487394,0.0345394736842105
267,00071.txt,1,0.725577731092437,0.1019736842105263,0.0099789915966386,0.0263157894736842
268,00071.txt,3,0.418329831932773,0.381578947368421,0.0236344537815126,0.069078947368421
269,00071.txt,4,0.4133403361344537,0.3157894736842105,0.0252100840336134,0.069078947368421
270,00071.txt,4,0.6662289915966386,0.3314144736842105,0.0204831932773109,0.0641447368421052
271,00072.txt,5,0.251313025210084,0.5871710526315789,0.0519957983193277,0.1447368421052631
272,00072.txt,4,0.1980042016806722,0.4226973684210526,0.0231092436974789,0.069078947368421
273,00072.txt,1,0.235031512605042,0.1151315789473684,0.0110294117647058,0.0328947368421052
274,00072.txt,1,0.6365546218487395,0.319078947368421,0.0168067226890756,0.0493421052631578
275,00072.txt,1,0.8306197478991596,0.653782894736842,0.0120798319327731,0.0411184210526315
276,00072.txt,2,0.5848214285714285,0.1143092105263157,0.0183823529411764,0.0773026315789473
277,00072.txt,1,0.4842436974789916,0.5345394736842105,0.0084033613445378,0.0296052631578947
278,00072.txt,1,0.7434348739495797,0.8601973684210525,0.0068277310924369,0.0230263157894736
279,00073.txt,2,0.9109768907563024,0.3075657894736842,0.0236344537815126,0.069078947368421
280,00073.txt,4,0.3828781512605042,0.5213815789473684,0.0262605042016806,0.0723684210526315
281,00073.txt,1,0.2079831932773109,0.5518092105263157,0.0126050420168067,0.037828947368421
282,00073.txt,1,0.3135504201680672,0.921875,0.0115546218487394,0.03125
283,00073.txt,1,0.5223214285714286,0.8042763157894737,0.0089285714285714,0.0263157894736842
284,00073.txt,1,0.4191176470588235,0.765625,0.0105042016806722,0.0279605263157894
285,00074.txt,2,0.1998424369747899,0.8930921052631579,0.0246848739495798,0.069078947368421
286,00074.txt,2,0.7744222689075629,0.6677631578947368,0.025735294117647,0.0657894736842105
287,00074.txt,3,0.9054621848739496,0.6858552631578947,0.0273109243697479,0.0756578947368421
288,00074.txt,1,0.6055672268907563,0.1891447368421052,0.0073529411764705,0.0230263157894736
289,00074.txt,1,0.5632878151260504,0.1282894736842105,0.0089285714285714,0.0263157894736842
290,00075.txt,1,0.2539390756302521,0.1661184210526315,0.0110294117647058,0.0361842105263157
291,00075.txt,2,0.5157563025210083,0.3725328947368421,0.0220588235294117,0.037828947368421
292,00075.txt,4,0.4272584033613445,0.6891447368421052,0.0183823529411764,0.0559210526315789
293,00075.txt,4,0.6305147058823529,0.5189144736842105,0.0215336134453781,0.0641447368421052
294,00075.txt,1,0.1591386554621848,0.5550986842105263,0.0157563025210084,0.0476973684210526
295,00076.txt,5,0.5677521008403361,0.25,0.0756302521008403,0.2236842105263157
296,00076.txt,4,0.2022058823529411,0.2129934210526315,0.0220588235294117,0.0707236842105263
297,00076.txt,1,0.2421218487394958,0.8684210526315789,0.0126050420168067,0.0394736842105263
298,00076.txt,1,0.0858718487394958,0.7845394736842105,0.0099789915966386,0.0296052631578947
299,00076.txt,1,0.4120273109243697,0.7870065789473684,0.0131302521008403,0.0345394736842105
300,00077.txt,3,0.5099789915966386,0.2623355263157894,0.0294117647058823,0.0773026315789473
301,00077.txt,3,0.6095063025210083,0.412828947368421,0.0278361344537815,0.0789473684210526
302,00077.txt,3,0.9569327731092436,0.5657894736842105,0.0262605042016806,0.069078947368421
303,00077.txt,1,0.3193277310924369,0.8840460526315789,0.0126050420168067,0.0345394736842105
304,00078.txt,1,0.5249474789915967,0.2763157894736842,0.0120798319327731,0.0394736842105263
305,00078.txt,4,0.4839810924369748,0.203125,0.0215336134453781,0.0641447368421052
306,00078.txt,5,0.6168592436974789,0.756578947368421,0.0530462184873949,0.1282894736842105
307,00079.txt,0,0.4789915966386554,0.7524671052631579,0.0304621848739495,0.1069078947368421
308,00079.txt,3,0.3014705882352941,0.756578947368421,0.0294117647058823,0.0822368421052631
