,Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Nutmeg,Onion,Sugar,Unicorn,Yogurt,chocolate
167,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False
168,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
169,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,False,True,True,False,False,False,True,True,True,False,True,False,True,False,False,True
171,True,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False
172,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
173,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
174,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
175,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
176,False,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False
177,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,True
178,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
179,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
180,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True
181,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True
182,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
183,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,True
184,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
185,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True
186,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True
187,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True
188,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,False
189,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True
190,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False
191,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
192,True,True,True,True,False,True,False,True,False,False,True,True,True,False,False,True
193,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False
194,False,False,True,True,False,True,True,True,False,False,False,True,False,True,False,True
195,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
196,True,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False
197,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False
198,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
199,False,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False
200,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
201,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True
202,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,False
203,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
204,False,True,False,True,False,True,True,True,True,False,False,False,False,True,True,False
205,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
206,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True
207,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False
208,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False
209,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True
210,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False
211,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True
212,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True
213,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
214,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True
215,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True
216,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True
217,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False
218,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False
219,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
220,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True
221,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,False
222,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
223,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True
224,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False
225,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False
226,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False
227,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
228,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False
229,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
230,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True
231,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False
232,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True
233,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
234,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
236,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
237,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
238,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True
239,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False
240,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
241,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True
242,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
243,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True
244,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False
245,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True
246,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
247,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
248,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
249,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True
250,False,False,True,False,True,True,True,True,False,False,True,True,False,False,True,True
251,True,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False
252,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
253,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False
254,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
255,True,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True
256,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
257,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True
258,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
259,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True
260,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False
261,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,True
262,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False
263,True,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True
264,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
265,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
266,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
267,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False
268,False,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True
269,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
270,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False
271,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,True
272,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
273,True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
274,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False
275,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False
276,True,True,True,False,True,False,True,True,False,False,False,False,True,True,True,False
277,False,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False
278,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False
279,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False
280,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False
281,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True
282,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False
283,False,False,True,True,True,False,False,True,False,True,False,False,False,True,True,False
284,True,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True
285,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
286,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False
287,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,True
288,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,True
289,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
290,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True
291,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True
292,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,True
293,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True
294,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True
295,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True
296,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
297,False,False,False,True,True,True,False,True,False,False,True,True,False,True,True,True
298,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
299,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True
300,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,True
301,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
302,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False
303,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,True
304,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False
305,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
306,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,False
307,True,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True
308,True,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False
309,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True
310,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
311,True,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True
312,False,False,True,False,True,True,False,True,True,True,True,False,True,False,True,False
313,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False
314,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True
315,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True
316,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False
317,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False
318,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True
319,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,True
320,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False
321,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True
322,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
323,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False
324,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True
325,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False
326,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True
327,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False
328,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False
329,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False
330,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False
331,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
332,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,True
333,False,False,True,True,False,False,False,True,True,False,True,False,False,True,True,False
334,True,False,True,False,True,False,False,True,True,False,False,True,True,True,False,False
335,True,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False
336,False,False,False,True,False,False,False,False,False,True,True,False,True,True,True,True
337,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
338,True,False,True,True,True,True,False,False,True,False,False,True,False,True,True,True
339,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False
340,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False
341,False,False,True,True,True,False,True,True,False,True,False,True,False,False,False,False
342,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,False
343,True,False,True,True,False,True,False,False,True,True,False,False,True,False,True,True
344,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
345,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
346,True,False,False,True,True,False,True,False,False,True,True,True,False,True,True,False
347,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True
348,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False
349,False,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True
350,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,True
351,True,False,True,False,False,True,True,True,True,True,True,False,True,True,False,True
352,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
353,False,True,False,False,False,True,True,True,False,True,True,True,True,True,True,False
354,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False
355,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True
356,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
357,False,False,True,True,False,True,False,True,False,True,True,False,True,False,False,True
358,True,True,True,False,True,False,False,False,False,False,True,True,True,False,True,False
359,False,False,True,False,True,False,True,False,True,True,True,False,True,True,False,True
360,True,False,True,False,True,True,False,True,True,False,False,False,True,False,False,True
361,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
362,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False
363,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True
364,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
365,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
366,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False
367,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
368,False,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False
369,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True
370,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False
371,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False
372,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False
373,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False
374,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
375,True,False,False,True,True,False,True,False,True,True,False,False,False,False,True,True
376,True,True,False,True,True,False,True,True,False,False,False,True,True,True,False,True
377,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True
378,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False
379,True,True,True,False,True,False,True,True,False,False,True,True,True,True,False,True
380,False,False,True,True,False,True,True,False,True,True,True,True,False,False,False,False
381,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False
382,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True
383,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
384,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False
385,True,True,True,True,True,False,True,False,False,False,True,True,True,False,True,True
386,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
387,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False
388,False,True,False,True,True,True,False,True,False,True,False,True,True,False,True,True
389,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True
390,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
391,True,True,True,True,False,False,False,True,False,False,True,True,False,True,True,False
392,False,False,False,True,False,True,True,True,True,False,False,True,False,False,False,True
393,False,False,True,True,False,False,False,True,True,True,False,True,True,False,True,False
394,False,True,False,True,False,False,False,True,True,False,True,False,True,True,True,False
395,True,False,False,False,True,True,False,True,True,False,True,False,False,False,True,True
396,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
397,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,False
398,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
399,False,False,True,False,False,True,False,False,True,True,True,False,True,True,True,True
400,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False
401,True,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False
402,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,False
403,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True
404,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False
405,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
