,Text,Label,num_chr,num_words,num_sent,Transformer_text
34,Thanks for your subscription to Ringtone UK your mobile will be charged Â£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,159,30,2,thanks subscription ringtone uk mobile charged please confirm replying yes reply charged
35,Yup... Ok i go home look at the timings then i msg Ã¼ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,123,30,1,yup ok go home look timing msg ã¼ xuhui going learn 2nd may lesson 8am
36,"Oops, I'll let you know when my roommate's done",0,47,12,1,oops let know roommate done
37,I see the letter B on my car,0,28,8,1,see letter b car
38,Anything lor... U decide...,0,27,6,1,anything lor u decide
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,37,4,hello saturday go texting see decided anything tomo trying invite anything
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,20,4,pls go ahead watt wanted sure great weekend abiola
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,35,4,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,34,2,07732584351 rodger burn msg tried call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
43,WHO ARE YOU SEEING?,0,19,5,1,seeing
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,22,3,great hope like man well endowed lt gt inch
45,No calls..messages..missed calls,0,32,7,1,call message missed call
46,Didn't you get hep b immunisation in nigeria.,0,45,10,1,get hep b immunisation nigeria
47,"Fair enough, anything going on?",0,31,7,1,fair enough anything going
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,16,1,yeah hopefully tyler ca could maybe ask around bit
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,37,4,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
50,What you thinked about me. First time you saw me in class.,0,58,14,2,thinked first time saw class
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,35,1,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,17,1,k fyi x ride early tomorrow morning crashing place tonight
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,289,69,6,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
54,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,27,5,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,20,2,know mallika sherawat yesterday find lt url gt
56,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,37,7,congrats 1 year special cinema pas 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free 150pm dont miss
57,"Sorry, I'll call later in meeting.",0,34,9,1,sorry call later meeting
58,Tell where you reached,0,22,4,1,tell reached
59,Yes..gauti and sehwag out of odi series.,0,40,10,1,yes gauti sehwag odi series
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,29,3,gon na pick 1 burger way home ca even move pain killing
61,Ha ha ha good joke. Girls are situation seekers.,0,48,11,2,ha ha ha good joke girl situation seeker
62,Its a part of checking IQ,0,25,6,1,part checking iq
63,"Sorry my roommates took forever, it ok if I come by now?",0,56,14,1,sorry roommate took forever ok come
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,26,2,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589",1,153,31,2,valued customer pleased advise following recent review mob awarded bonus prize call 09066364589
66,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,122,28,2,today song dedicated day song u dedicate send ur valuable frnds first rply
67,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,161,34,3,urgent ur awarded complimentary trip eurodisinc trav aco entry41 claim txt dis 87121 morefrmmob shracomorsglsuplt 10 ls1 3aj
68,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,78,20,2,hear new divorce barbie come ken stuff
69,I plane to give on this month end.,0,34,9,1,plane give month end
70,Wah lucky man... Then can save money... Hee...,0,46,11,1,wah lucky man save money hee
71,Finished class where are you.,0,29,6,1,finished class
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,12,2,hi babe im home wan na something xx
73,K..k:)where are you?how did you performed?,0,42,14,1,k k performed
74,U can call me now...,0,20,6,1,u call
75,I am waiting machan. Call me once you free.,0,43,11,2,waiting machan call free
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,16,2,thats cool gentleman treat dignity respect
77,I like you peoples very much:) but am very shy pa.,0,50,14,1,like people much shy pa
78,Does not operate after  &lt;#&gt;  or what,0,42,13,1,operate lt gt
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,20,3,still looking job much ta earn
80,"Sorry, I'll call later",0,22,6,1,sorry call later
81,K. Did you call me just now ah? ,0,32,9,1,call ah
82,Ok i am on the way to home hi hi,0,32,10,1,ok way home hi hi
83,You will be in the place of that man,0,36,9,1,place man
84,Yup next stop.,0,14,4,1,yup next stop
85,"I call you later, don't have network. If urgnt, sms me.",0,55,16,2,call later network urgnt sm
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,30,3,real u getting yo need 2 ticket one jacket done already used multis
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,36,3,yes started send request make pain came back back bed double coin factory got ta cash nitros
88,I'm really not up to it still tonight babe,0,42,10,1,really still tonight babe
89,"Ela kano.,il download, come wen ur free..",0,41,11,1,ela il download come wen ur free
90,Yeah do! Donât stand to close tho- youâll catch something!,0,62,12,2,yeah stand close catch something
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,44,4,sorry pain ok meet another night spent late afternoon casualty mean done stuff42moro includes time sheet sorry
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,28,2,smile pleasure smile pain smile trouble pours like rain smile sum1 hurt u smile becoz someone still love see u smiling
93,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,1,139,24,1,please call customer service representative 0800 169 6031 guaranteed cash prize
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,23,3,havent planning buy later check already lido got 530 show e afternoon u finish work already
95,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,158,37,5,free ringtone waiting collected simply text password mix 85069 verify get usher britney fml po box 5249 mk17 92h 450ppw 16
96,Watching telugu movie..wat abt u?,0,33,8,1,watching telugu movie wat abt u
97,i see. When we finish we have loads of loans to pay,0,51,13,2,see finish load loan pay
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,178,44,5,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
99,I see a cup of coffee animation,0,31,7,1,see cup coffee animation
100,Please don't text me anymore. I have nothing else to say.,0,57,14,2,please text anymore nothing else say
101,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,23,3,okay name ur price long legal wen pick u ave x am xx
102,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,19,2,still looking car buy gone 4the driving test yet
104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,44,5,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
105,Umma my life and vava umma love you lot dear,0,44,10,1,umma life vava umma love lot dear
106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,19,2,thanks lot wish birthday thanks making birthday truly memorable
107,"Aight, I'll hit you up when I get some cash",0,43,12,1,aight hit get cash
108,How would my ip address test that considering my computer isn't a minecraft server,0,82,15,1,would ip address test considering computer minecraft server
109,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,28,4,know grumpy old people mom like better lying always one play joke
110,Dont worry. I guess he's busy.,0,30,9,2,dont worry guess busy
111,What is the plural of the noun research?,0,40,9,1,plural noun research
112,Going for dinner.msg you after.,0,31,6,1,going
113,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,28,3,ok wif co like 2 try new thing scared u dun like mah co u said loud
114,GENT! We are trying to contact you. Last weekends draw shows that you won a Â£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,159,33,7,gent trying contact last weekend draw show prize guaranteed call claim code k52 valid 12hrs 150ppm
115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,34,3,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,40,6,entered cabin pa said happy bos felt special askd 4 lunch lunch invited apartment went
117,You are a winner U have been specially selected 2 receive Â£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,153,32,1,winner u specially selected 2 receive 4 holiday flight inc speak live operator 2 claim
118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,14,2,goodo yes must speak friday ratio tortilla needed
119,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,20,2,hmm uncle informed paying school directly pls buy food
120,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,23,3,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim call 08719180248 identifier code 45239 expires
121,"URGENT! Your Mobile No. was awarded Â£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,157,30,4,urgent mobile awarded bonus caller prize final try contact u call landline 09064019788 box42wr29c 150ppm
122,here is my new address -apples&pairs&all that malarky,0,53,12,1,new address pair malarky
123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,29,2,today voda number ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rate app
124,I am going to sao mu today. Will be done only at 12 ,0,52,14,2,going sao mu today done 12
125,Ã predict wat time Ã¼'ll finish buying?,0,40,9,1,predict wat time ã¼ finish buying
126,"Good stuff, will do.",0,20,6,1,good stuff
127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,56,4,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
128,Are you there in room.,0,22,6,1,room
129,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,31,5,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
130,K..k:)how much does it cost?,0,28,11,1,k k much cost
131,I'm home.,0,9,4,1,home
132,"Dear, will call Tmorrow.pls accomodate.",0,39,7,1,dear call accomodate
133,First answer my question.,0,25,5,1,first answer question
134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone,1,126,30,4,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,36,6,want 2 get laid tonight want real dogging location sent direct 2 ur mob join uk largest dogging network bt txting gravel 69888 nt ec2a 150p
136,I only haf msn. It's yijue@hotmail.com,0,38,10,2,haf msn yijue
137,He is there. You call and meet him,0,34,9,2,call meet
138,No no. I will check all rooms befor activities,0,46,10,2,check room befor activity
139,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,35,2,rcv msg chat svc free hardcore service text go 69988 u get nothing u must age verify yr network try
140,Got c... I lazy to type... I forgot Ã¼ in lect... I saw a pouch but like not v nice...,0,86,24,4,got c lazy type forgot ã¼ lect saw pouch like v nice
141,"K, text me when you're on the way",0,33,10,1,k text way
142,"Sir, Waiting for your mail.",0,27,7,1,sir waiting mail
143,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,156,33,1,swt thought nver get tired little thing 4 lovable person coz somtimes little thing occupy biggest part heart gud ni8
144,I know you are. Can you pls open the back?,0,42,12,2,know pls open back
145,Yes see ya not on the dot,0,25,7,1,yes see ya dot
146,Whats the staff name who is taking class for us?,0,48,11,1,whats staff name taking class u
147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,35,3,freemsg replied text randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end
148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,16,1,call check life begin qatar pls pray hard
149,K..i deleted my contact that why?,0,33,9,1,k deleted contact
150,Sindu got job in birla soft ..,0,30,7,1,sindu got job birla soft
151,The wine is flowing and i'm i have nevering..,0,45,11,1,wine flowing nevering
152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,16,1,yup thk cine better co need 2 go 2 plaza mah
153,Ok... Ur typical reply...,0,25,6,1,ok ur typical reply
155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,95,5,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
156,Aaooooright are you at work?,0,28,6,1,aaooooright work
157,I'm leaving my house now...,0,27,7,1,leaving house
158,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,41,6,hello love get interview today happy good boy think missing
159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,21,3,customer service annoncement new year delivery waiting please call 07046744435 arrange delivery
160,You are a winner U have been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,146,30,1,winner u specially selected 2 receive cash 4 holiday flight inc speak live operator 2 claim 0871277810810
161,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,25,1,keep safe need miss already envy everyone see real life
162,New car and house for my parents.:)i have only new job in hand:),0,64,19,2,new car house parent new job hand
163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,24,3,love excited day spend make happy
164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,29,3,stop bootydelious inviting friend reply see stop send stop frnd 62468
165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,35,5,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile menu
166,I place all ur points on e cultures module already.,0,51,11,1,place ur point e culture module already
167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a Â£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,157,32,6,urgent trying contact last weekend draw show prize guaranteed call claim code s89 valid 12hrs
168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,16,1,hi frnd best way avoid missunderstding wit beloved one
169,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,67,15,3,great escape fancy bridge need lager see tomo
170,Yes :)it completely in out of form:)clark also utter waste.,0,59,16,1,yes completely form clark also utter waste
171,"Sir, I need AXIS BANK account no and bank address.",0,50,12,1,sir need axis bank account bank address
172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,94,25,2,hmmm thk sure got time hop ard ya go 4 free abt muz call u discus liao
173,What time you coming down later? ,0,33,7,1,time coming later
174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,105,24,2,bloody hell cant believe forgot surname mr ill give u clue spanish begin
175,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,18,2,well gon na finish bath good fine night
176,Let me know when you've got the money so carlos can make the call,0,65,15,1,let know got money carlos make call
177,U still going to the mall?,0,26,7,1,u still going mall
178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,43,1,turn friend staying whole show wo back til lt gt feel free go ahead smoke lt gt worth
179,Text her. If she doesnt reply let me know so i can have her log in,0,66,17,2,text doesnt reply let know log
180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,29,3,hi spoke maneesha like know satisfied experience reply toll free yes
181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,34,4,lifted hope offer money need especially end month approach hurt studying anyways gr8 weekend
182,Lol no. U can trust me.,0,23,8,2,lol u trust
183,ok. I am a gentleman and will treat you with dignity and respect.,0,65,15,2,gentleman treat dignity respect
184,"He will, you guys close?",0,24,7,1,guy close
185,Going on nothing great.bye,0,26,4,1,going nothing
186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,33,6,hello handsome finding job lazy working towards getting back net mummy boytoy miss
187,"Haha awesome, be there in a minute",0,34,8,1,haha awesome minute
188,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,1,149,25,1,please call customer service representative freephone 0808 145 4742 guaranteed cash prize
189,Have you got Xmas radio times. If not i will get it now,0,55,14,2,got xmas radio time get
190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,88,22,3,jus reached home go bathe first si using net tell u finish k
191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,72,12,3,unique enough find 30th august
192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,185,44,5,sorry joined league people dont keep touch mean great deal friend time even great personal cost great
193,Hi :)finally i completed the course:),0,37,10,1,hi finally completed course
194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,111,24,2,stop however suggest stay someone able give or every stool
195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,92,22,3,hope settled new school year wishin gr8 day
196,Gud mrng dear hav a nice day,0,28,7,1,gud mrng dear hav nice day
197,Did u got that persons story,0,28,6,1,u got person story
198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,0,64,16,2,hamster dead hey tmr meet 1pm orchard mrt
199,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,131,34,4,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
200,"Found it, ENC  &lt;#&gt; , where you at?",0,40,16,1,found enc lt gt
201,I sent you  &lt;#&gt;  bucks,0,28,11,1,sent lt gt buck
202,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,84,18,1,hello darlin ive finished college txt u finish u love kate xxx
203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,174,44,3,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
204,Goodmorning sleeping ga.,0,24,4,1,goodmorning sleeping ga
205,U call me alter at 11 ok.,0,25,8,1,u call alter 11 ok
206,Ã say until like dat i dun buy ericsson oso cannot oredi lar...,0,64,15,1,say like dat dun buy ericsson oso oredi lar
208,"Aight yo, dats straight dogg",0,28,6,1,aight yo dat straight dogg
209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,86,19,1,please give u connection today lt decimal gt refund bill
210,Both :) i shoot big loads so get ready!,0,39,11,1,shoot big load get ready
211,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,73,18,2,bruv hope great break rewarding semester
212,Home so we can always chat,0,26,6,1,home always chat
213,K:)k:)good:)study well.,0,23,12,1,k k good study well
214,Yup... How Ã¼ noe leh...,0,24,7,1,yup ã¼ noe leh
215,Sounds great! Are you home now?,0,31,8,2,sound great home
216,Finally the match heading towards draw as your prediction.,0,58,10,1,finally match heading towards draw prediction
217,Tired. I haven't slept well the past few nights.,0,48,12,2,tired slept well past night
218,Easy ah?sen got selected means its good..,0,41,10,1,easy ah sen got selected mean good
219,I have to take exam with march 3,0,32,8,1,take exam march 3
220,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,159,40,4,yeah think use gt atm register sure anyway help let know sure ready
221,Ok no prob. Take ur time.,0,25,8,2,ok prob take ur time
