Quotes,Writter name
How little we know of what there is to know I wish that I were going to live a long time instead of going to die today because I have learned much about life in these four days more I think than in all other time Id like to be an old man to really know I wonder if you keep on learning or if there is only a certain amount each man can understand I thought I knew so many things that I know nothing of I wish there was more time,Ernest Hemingway
You have qualities which I had not before supposed to exist in such a degree in any human creature You have some touches of the angel in you beyond whatnot merely beyond what one sees because one never sees anything like itbut beyond what one fancies might be ,Jane Austen
Now and then a fellow gets to thinking About all the sorrow and afflictions in this world how its liable to strike anywhere like lightning,William Faulkner
I looked at the stars and considered how awful it would be for a man to turn his face up to them as he froze to death and see no help or pity in all the glittering multitude,Charles Dickens
I see a beautiful city and a brilliant people rising from this abyss I see the lives for which I lay down my life peaceful useful prosperous and happy I see that I hold a sanctuary in their hearts and in the hearts of their descendants generations hence It is a far far better thing that I do than I have ever done it is a far far better rest that I go to than I have ever known,Charles Dickens
I looked at myself in the mirror of the big armoire beside the bed    Of all the ways to be wounded I suppose it was funny,Ernest Hemingway
A true Englishman doesnt joke when he is talking about so serious a thing as a wager,Jules Verne
When you love you wish to do things for You wish to sacrifice for You wish to serve,Ernest Hemingway
Nor could she help feeling on more serious reflection that like many other great moralists and preachers she had been eloquent on a point in which her own conduct would ill bear examination,Jane Austen
Even the smallest person can change the course of the future,J.R.R. Tolkien
Sometimes I lose faith in human nature for a time I am assailed by doubt,William Faulkner
It was astonishing that a man of his intellect could stoop so low as he didbut that was too harsh a phrasecould depend so much as he did upon peoples praise,Virginia Woolf
"Wir brauchen Bcher die auf uns wirken wie ein Unglck das uns sehr schmerzt wie der Tod eines den wir lieber htten als uns wie wenn wir in die Wlder verstoen wrden von allen Menschen weg ein Buch muss die Axt sein fr das gefrorene Meer in uns
    
  ",Franz Kafka
"He Kafka did not have for his private and interior processes that disregard which distinguishes insignificant writers from writers of imagination A person who thinks that he is empowered to separate his inner world from the outer one has no inner world from which something might be separable
    
  ",Elias Canetti
And from the whole she deduced this useful lesson that to go previously engaged to a ball does not necessarily increase either the dignity or enjoyment of a young lady,Jane Austen
I looked and looked at her and I knew as clearly as I know that I will die that I loved her more than anything I had ever seen or imagined on earth,Vladimir Nabokov
"I beg of you said Bilbo stammering and standing on one foot to accept this gift and he brought out a necklace of silver and pearls that Dain had given him at their parting 

In what way have I earned such a gift O hobbit said the king 

Well er I thought dont you know said Bilbo rather confused that er some little return should be made for your er hospitality I mean even a burglar has his feelings I have drunk much of your wine and eaten much of your bread 

I will take your gift O Bilbo the Magnificent said the king gravely",J.R.R. Tolkien
 I dote on his very absence,William Shakespeare
It may be said here that the wise policy of the British Government severely punishes a disregard of the practices of the native religions,Jules Verne
If you look for perfection you will never be satisfied,Leo Tolstoy
There are many things from which I might have derived good by which I have not profited I dare say returned the nephew Christmas among the rest    And therefore uncle though it has never put a scrap of gold or silver in my pocket I believe that it has done me good and will do me good and I say God bless it,Charles Dickens
 Modest doubt is called the beacon of the wise,William Shakespeare
So thats what it is he suddenly exclaimed aloud What joy,Leo Tolstoy
If ever you are passing my way said Bilbo dont wait to knock Tea is at four but any of you are welcome at any time,J.R.R. Tolkien
In poverty she is envious In riches she may be a snob Money does not change the sickness only the symptoms,John Steinbeck
Perhaps the feelings that we experience when we are in love represent a normal state Being in love shows a person who he should be,Anton Chekhov
I mean I have the feeling that something in my mind is poisoning everything else,Vladimir Nabokov
Never think that war no matter how necessary nor how justified is not a crime Ask the infantry and ask the dead,Ernest Hemingway
The way to make people trustworthy is to trust them,Ernest Hemingway
Dont waste your love on somebody who doesnt value it,William Shakespeare
Just then the stern line came taut under his foot where he had kept the loop of the line and he dropped his oars and felt the weight of the small tunas shivering pull as he held the line firm and commenced to haul it in The shivering increased as he pulled in and he could see the blue back of the fish in the water and the gold of his sides before he swung him over the side and into the boat He lay in the stern in the sun compact and bullet shaped his big unintelligent eyes staring as he thumped his life out against the planking of the boat with the quick shivering strokes of his neat fastmoving tail The old man hit him on the head for kindness and kicked him his body still shuddering under the shade of the stern,Ernest Hemingway
Man serves the interests of no creature except himself,George Orwell
 Wisely and slow They stumble that run fast,William Shakespeare
IN the midway of this our mortal life I found me in a gloomy wood astray,Dante Alighieri
Ferreting in ones soul one often ferrets out something that might have lain there unnoticed,Leo Tolstoy
"Kafka calls it the Indestructiblethe thing at the bottom of each individual that keeps going whether they feel like going or not The Indestructible is a place that has nothing to do with optimisminstead its something far deeper and far less selfconscious than optimismthe Indestructible is the thing we mask with all sorts of other symbols hopes and ambitionsthat dont force you to acknowledge what is underneath Wellif you do or are forced to remove all those excesses you get the Indestructible and once you acknowledge it Kafka goes deeperhe doesnt let you think the Indestructible is optimistic or positiveinstead it is the thing that could actually rip us apart and destroy us
    
  ","Lulu Miller,"
Im gettin tired way past where sleep rests me,John Steinbeck
Everything in the world must have design or the human mind rejects it But in addition it must have purpose or the human conscience shies away from it,John Steinbeck
"Obstacles start from the ground wherever he looks  his Jewishness passport difficulties trains lack of sleep her husband his own office obligations his state of health his sisters wedding Disaster or distraction and for him there is little difference between the two surround him like a design for living This is the design found in his fiction which reflects a view of life as proliferation of obstacles splitting off into more obstacles bewildering the brain by their multiplicity and movement
    
  ",J. A. Underwood
Without hope we live in desire,Dante Alighieri
Go back he thought No good at all Go sideways Impossible Go forward Only thing to do On we go So up he got and trotted along with his little sword held in front of him and one hand feeling the wall and his heart all of a patter and a pitter,J.R.R. Tolkien
As Sam stood there even though the Ring was not on him but hanging by its chain about his neck he felt himself enlarged as if he were robed in a huge distorted shadow of himself a vast and ominous threat halted upon the walls of Mordor Already the Ring tempted him gnawing at his will and reason,J.R.R. Tolkien
 I would not wish any companion in the world but you,William Shakespeare
Caddy smelled like trees and like when she says we were asleep,William Faulkner
 Theres many a man has more hair than wit,William Shakespeare
Good and ill have not changed since yesteryear,J.R.R. Tolkien
Carl Tiflin came to the barn with Jody one day He looked admiringly at the groomed bay coat and he felt the firm flesh over ribs and shoulders Youve done a good job he said to Jody And this was the greatest praise he knew how to give Jody was bright with pride for hours afterward,John Steinbeck
For masterpieces are not single and solitary births they are the outcome of many years of thinking in common of thinking by the body of the people so that the experience of the mass is behind the single voice,Virginia Woolf
We got a future,John Steinbeck
"He is terribly afraid of dying because he hasnt yet lived
    
  ",Franz Kafka
Her gaiety too was like her mothersa singular unobtrusive gaiety It was just a quiet delight in ones own existence with a faint note of humorous surprise at being alive at allyes that was the tenor of it mortal gaiety,Vladimir Nabokov
 Suspicion always haunts the guilty mind,William Shakespeare
If reading could banish the idea for even half an hour it was something gained,Jane Austen
Doublethink means the power of holding two contradictory beliefs in ones mind simultaneously and accepting both of them,George Orwell
As in large troops And multitudinous when winter reigns The starlings on their wings are borne abroad So bears the tyrannous gust those evil souls On this side and on that above below It drives them hope of rest to solace them Is none nor een of milder pang,Dante Alighieri
She is tolerable but not handsome enough to tempt me and I am in no humor at present to give consequence to young ladies who are slighted by other men,Jane Austen
Well whats to be done with it said Sam Tie it up so as it cant come sneaking after us no more I say,J.R.R. Tolkien
,William Shakespeare
How the myth wipes out the fact,John Steinbeck
You can love a person dear to you with a human love but an enemy can only be loved with divine love,Leo Tolstoy
And if thou dost not love me I love thee enough for both,Ernest Hemingway
"The way she sits on my lap as if it were her proper place
    
  ","Franz Kafka,"
No man or woman born coward or brave can shun his destiny,Homer
Sometimes a man wants to be stupid if it lets him do a thing his cleverness forbids,John Steinbeck
 A fool thinks himself to be wise but a wise man knows himself to be a fool,William Shakespeare
 He jests at scars that never felt a wound,William Shakespeare
" bom quando nossa conscincia sofre grandes ferimentos pois isso a torna mais sensvel a cada estmulo Penso que devemos ler apenas livros que nos ferem que nos afligem Se o livro que estamos lendo no nos desperta como um soco no crnio por que perder tempo lendoo Para que ele nos torne felizes como voc diz Oh Deus ns seramos felizes do mesmo modo se esses livros no existissem Livros que nos fazem felizes poderamos escrever ns mesmos num piscar de olhos Precisamos de livros que nos atinjam como a mais dolorosa desventura que nos assolem profundamente  como a morte de algum que amvamos mais do que a ns mesmos  que nos faam sentir que fomos banidos para o ermo para longe de qualquer presena humana  como um suicdio Um livro deve ser um machado para o mar congelado que h dentro de ns
    
  ","Franz Kafka,"
"If I closely examine what is my ultimate aim it turns out that I am not really striving to be good and to fulfil the demands of a Supreme Judgement but rather very much the contrary I strive to know the whole human and animal community to recognize their basic predilections desires moral ideals to reduce these to simple rules and as quickly as possible trim my behaviour to these rules in order that I may find favour in the whole worlds eyes and indeed this is the inconsistency so much favour that in the end I could openly perpetrate the iniquities within me without alienating the universal love in which I am held the only sinner who wont be roasted To sum up then my sole concern is the human tribunal which I wish to deceive moreover though without practising any actual deception
    
  ","Franz Kafka,"
A man does not recover from such devotion of the heart to such a woman He ought not he does not,Jane Austen
"Algum certamente havia caluniado Josef K pois uma manh ele foi detido sem ter feito mal algum
    
  ",Franz Kafka
I knew that feeling of love which is the essence of the soul for which no object is needed,Leo Tolstoy
"After reading Burgum Patricia Highsmith wrote in her cahier that like Kafka she felt she was a pessimist unable to formulate a system in which an individual could believe in God government or self Again like Kafka she looked into the great abyss which separated the spiritual and the material and saw the terrifying emptiness the hollowness at the heart of every man a sense of alienation she felt compelled to explore in her fiction As her next hero she would take an architect a young man whose authority is art and therefore himself who when he murders feels no guilt or even fear when he thinks of legal retribution The more she read of Kafka the more she felt afraid as she came to realise I am so similar to him
    
  ","Andrew Wilson,"
" Then said Cranly you do not intend to become a protestant

 I said that I had lost the faith Stephen answered but not that I had lost selfrespect What kind of liberation would that be to forsake an absurdity which is logical and coherent and to embrace one which is illogical and incoherent",James Joyce
Smeagolll get into real true hot water when this water boils if he dont do as he asked,J.R.R. Tolkien
Where theres life theres hope and need of vittles,J.R.R. Tolkien
Belmonte was no longer well enough He no longer had his greatest moments in the bullring He was not sure that there were any great moments Things were not the same and now life only came in flashes,Ernest Hemingway
The French fashion  of the parents arranging their childrens future  was not accepted it was condemned The English fashion of the complete independence of girls was also not accepted and not possible in Russian society The Russian fashion of matchmaking by the officer of intermediate persons was for some reason considered disgraceful it was ridiculed by everyone and by the princess herself But how girls were to be married and how parents were to marry them no one knew,Leo Tolstoy
You did not kill the fish only to keep alive and to sell for food he thought You killed him for pride and because you are a fisherman You loved him when he was alive and you loved him after If you love him it is not a sin to kill him Or is it more,Ernest Hemingway
But silence do you hear me Silence upon the whole subject and let no one get before us in this design of discovering the center of the earth,Jules Verne
If everyone fought for their own convictions there would be no war,Leo Tolstoy
"imdi ise  yreine ve aklna ayn ekilde etki eden bir sesle Milena seni aryor Tabii ki Milena seni tanmyor duyduu bir ka hikaye ve yazlan baz mektuplar gzn kr etmi Milena bir deniz gibi iinde ok fazla su barndran bir deniz kadar gl tm gcyle patlayan fakat bazen yanl yola girip lm ya da uzaktaki ay takip eden O seni tanmyor gelmeni istemesi gerei anlamak istemesinden baka bir ey deil Senin mevcut halini grdkten sonra gzlerinin alacandan emin olabilirsin Bundan ekindiin iin mi gitmek istemiyorsun hassas ruh korktuun tam olarak bu deil mi
    
  ","Franz Kafka,"
Thus much indeed he was obliged to acknowledge  that he had been constant unconsciously nay unintentionally that he had meant to forget her and believed it to be done He had imagined himself indifferent when he had only been angry and he had been unjust to her merits because he had been a sufferer from them,Jane Austen
If I could not be persuaded into doing what I thought wrong I will never be tricked into it,Jane Austen
Like someone who has imperfect vision we see things which are remote from us so much light the Supreme Ruler still gives to us when they draw nigh or are our intellect is altogether void and except what others bring us we know nothing of your human state,Dante Alighieri
Really it was a miracle thinking of the war and thousands of poor chaps with all their lives before them shovelled together already half forgotten it was a miracle,Virginia Woolf
My mother is a fish,William Faulkner
Man cannot possess anything as long as he fears death But to him who does not fear it everything belongs,Leo Tolstoy
Some days in late August at home are like this the air thin and eager like this with something in it sad and nostalgic and familiar,William Faulkner
Bother burgling and everything to do with it I wish I was at home in my nice hole by the fire with the kettle just beginning to sing,J.R.R. Tolkien
His countenance had resumed its habitual imperturbability,Jules Verne
Let him not vow to walk in the dark who has not seen the nightfall,J.R.R. Tolkien
It is happy for you that you possess the talent of flattering with delicacy May I ask whether these pleasing attentions proceed from the impulse of the moment or are the result of previous study,Jane Austen
If youre in trouble or hurt or needgo to poor people Theyre the only ones thatll helpthe only ones,John Steinbeck
 How far that little candle throws its beams So shines a good deed in a naughty world,William Shakespeare
And in imagination he began to recall the best moments of his pleasant life But strange to say none of those best moments of his pleasant life now seemed at all what they had then seemed,Leo Tolstoy
To me it would not seem that a Steward who faithfully surrenders his charge is diminished in love or in honour,J.R.R. Tolkien
He was just a coward and that was the worst luck any many could have,Ernest Hemingway
I came from the end of bag but no bag went over me I am the friend of bears and the guest of eagles I am Ringwinner and Luckwearer and I am Barrelrider,J.R.R. Tolkien
The world is indeed full of peril and in it there are many dark places but still there is much that is fair and though in all lands love is now mingled with grief it grows perhaps the greater,J.R.R. Tolkien
Moths and all sorts of ugly creatures hover about a lighted candle Can the candle help it,Charles Dickens
Oh the dead she murmured one pitied them one brushed them aside one had even a little contempt for them They are at our mercy,Virginia Woolf
At last all such things must end he said but I would have you wait a little while longer for the end of the deeds that you have shared in has not yet come A day draws near that I have looked for in all the years of my manhood and when it comes I would have my friends beside me,J.R.R. Tolkien
The pleasures connected with his work were pleasures of ambition his social pleasures were those of vanity but Ivan Ilychs greatest pleasure was playing bridge,Leo Tolstoy
It is a feeling of relief almost of pleasure at knowing yourself at last genuinely down and out You have talked so often of going to the dogs  and well here are the dogs and you have reached them and you can stand it It takes off a lot of anxiety,George Orwell
The last few hours were certainly very painful replied Anne but when pain is over the remembrance of it often becomes a pleasure One does not love a place the less for having suffered in it unless it has been all suffering nothing but suffering,Jane Austen
"over and over you would like to be recognized according to your own self your own person your own hearts inclinationbut they always ask only what you have done and really if you look at it rationally they have nothing else by which they can judge your state of mind except the manifestations of that state of mind
    
  ","Max Brod,"
"He sought his former accustomed fear of death and did not find it Where is it What death There was no fear because there was no death

In place of death there was light",Leo Tolstoy
We can know only that we know nothing And that is the highest degree of human wisdom,Leo Tolstoy
Curse the Baggins Its gone What has it got in its pocketses Oh we guess we guess my precious Hes found it yes he must have,J.R.R. Tolkien
The Eagles The Eagles he shouted The Eagles are coming,J.R.R. Tolkien
Why do old men wake so early Is it to have one longer day,Ernest Hemingway
Communication is health communication is happiness communication  he muttered,Virginia Woolf
It struck him that in moments of crisis one is never fighting against an external enemy but always against ones own body On the battlefield in the torture chamber on a sinking ship the issues that you are fighting for are always forgotten because the body swells up until it fills the universe and even when you are not paralysed by fright or screaming with pain life is a momenttomoment struggle against hunger or cold or sleeplessness against a sour stomach or an aching tooth,George Orwell
Hill Yes that was it But it is a hasty word for a thing that has stood here ever since this part of the world was shaped,J.R.R. Tolkien
Theres a gentility on the road A direct or personal question is out of bounds But this is simple good manners anywhere in the world,John Steinbeck
It is not good to want a thing too much It sometimes drives the luck away You must want it just enough    ,John Steinbeck
Even God can have a preference can he Lets suppose God liked lamb better than vegetables I think I do myself Cain brought him a bunch of carrots maybe And God said I dont like this Try again Bring me something I like and Ill set you up alongside your brother But Cain got mad His feelings were hurt And when a mans feelings are hurt he wants to strike at something and Abel was in the way of his anger,John Steinbeck
Ask no questions and youll be told no lies,Charles Dickens
Laugh and be good and after dinner we will make him a nest on the floor in a corner and he shall sit in his nest and see a dance of eighteen cooks,Charles Dickens
And I have still other smothered memories now unfolding themselves into limbless monsters of pain,Vladimir Nabokov
Many of the Ents are younger than I am by many lives of trees They are all roused now and their mind is all on one thing breaking Isengard But they will start thinking again before long they will cool down a little    But let them march now and sing We have a long way to go and there is time ahead for thought It is something to have started,J.R.R. Tolkien
Do you wish me a good morning or mean that it is a good morning whether I want it or not or that you feel good this morning or that it is a morning to be good on,J.R.R. Tolkien
I simply want to tell you that somehow I cant imagine life without you I love you I want you I need you unbearably,Vladimir Nabokov
"Then I uprose showing myself provided

Better with breath than I did feel myself

And said Go on for I am strong and bold",Dante Alighieri
And I catch myself thinking today that our long journey had only defiled with a sinuous trail of slime the lovely trustful dreamy enormous country that by then in retrospect was no more to us than a collection of dogeared maps ruined tour books old tires and her sobs in the night every night every night the moment I feigned sleep,Vladimir Nabokov
Frodo gave a cry and there was fallen upon his knees at the chasms edge But Gollum dancing like a mad thing held aloft the ring a finger still thrust within its circle,J.R.R. Tolkien
She carried her head high enougheven when we believed that she was fallen ,William Faulkner
A man who tells secrets or stories must think of who is hearing or reading for a story has as many versions as it has readers Everyone takes what he wants or can from it and thus changes it to his measure Some pick out parts and reject the rest some strain the story through their mesh of prejudice some paint it with their own delight ,John Steinbeck
I know Im just a trouble and a burden to you,William Faulkner
Love those that hate you but to love those one hates is impossible,Leo Tolstoy
We can know the time we can know a time We can never know Time Our senses are simply not meant to perceive it,Ada Veen
Wherever you are you should always be contented but especially at home because there you must spend the most of your time,Jane Austen
There are people who the more you do for them the less they will do for themselves,Jane Austen
So that was it And you were trying to tell Caddy and you couldnt tell her You wanted to but you couldnt could you Of course Caddy wont Of course Caddy wont Just wait till I dress,William Faulkner
Were always lucky I said and like a fool I did not knock on wood,Ernest Hemingway
So many old and lovely things are stored in the worlds attic because we dont want them around us and we dont dare throw them out,John Steinbeck
My life used to be full of everything Now if you arent with me I havent a thing in the world,Ernest Hemingway
Monsters are variations from the accepted normal to a greater or a less degree As a child may be born without an arm so one may be born without kindness or the potential of conscience,John Steinbeck
And all plans safeguards policing and coercion are fruitless We find after years of struggle that we do not take a trip a trip takes us,John Steinbeck
Like a girl a baby running after her mother begging to be picked up and she tugs on her skirts holding her back as she tries to hurry offall tears fawning up at her till she takes her in her arms Thats how you look Patroclus streaming live tears,Homer
I absolutely cannot be any longer without you  this halfexistence quarterexistence  is starting to get too much for me  and without the air which comes from you I can neither think nor write I cant do anything,Vladimir Nabokov
Its a dangerous business Frodo going out your door You step onto the road and if you dont keep your feet theres no knowing where you might be swept off to,J.R.R. Tolkien
Let him think that I am more man than I am and I will be so,Ernest Hemingway
Her gifts were mixed with good and evil both,Homer
I thinkif it is true that there are as many minds as there are heads then there are as many kinds of love as there are hearts,Leo Tolstoy
There isnt any me Im you Dont make up a separate me,Ernest Hemingway
Yet she said to herself from the dawn of time odes have been sung to love wreaths heaped and roses and if you asked nine people out of ten they would say they wanted nothing but thislove,Virginia Woolf
"The three of them knew it She was Kafkas mistress Kafka had dreamt her The three of them knew it He was Kafkas friend Kafka had dreamt him The three of them knew it The woman said to the friend Tonight I want you to have me The three of them knew it The man replied If we sin Kafka will stop dreaming us One of them knew it There was no longer anyone on earth Kafka said to himself Now the two of them have gone Im left alone Ill stop dreaming myself
    
  ",Jorge Luis Borges
 One may  and smile be a villain,William Shakespeare
 My bounty is as boundless as the sea my love as deep the more I give to thee the more I have for both are infinite,William Shakespeare
It may be taken for granted that rash as the Americans are when they are prudent there is good reason for it,Jules Verne
Nothing that we do is done in vain I believe with all my soul that we shall see triumph,Charles Dickens
Phileas Fogg having shut the door of his house at halfpast eleven and having put his right foot before his left five hundred and seventyfive times and his left foot before his right five hundred and seventysix times reached the Reform Club,Jules Verne
She hardly knew at times what it was she feared and what she hoped for Whether she feared or desired what had happened or what was going to happen and exactly what she longed for she could not have said,Leo Tolstoy
Solitude was corrupting me,Vladimir Nabokov
"Daqui no d para ver bem mas  algum matando um outro O qual j morreu mas vamos ao que interessa Onde  que ns estvamos mesmo Falando Um jurisconsulto um dia fez o projeto do juiz perfeito chegando   concluso que o juiz seria tanto mais perfeito quanto mais se assemelhasse ao ru para conheclo e punilo com justia Ora ningum mais semelhante ao ru que ele mesmo Assim o juiz e o ru so a mesma pessoa que se absolvem e fazem as pazes
    
  ","Paulo Leminski,"
